template_id,estimated_ctr,ci_lower,ci_upper,total_sends,total_clicks,alpha,beta,confidence_width
T0405_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0405,0.5,0.0,1.0,0,0,1,1,1.0
T0001_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0404_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0002_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0404,0.5,0.0,1.0,0,0,1,1,1.0
T0003_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0384_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0385,0.5,0.0,1.0,0,0,1,1,1.0
T0385_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0386,0.5,0.0,1.0,0,0,1,1,1.0
T0386_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0387,0.5,0.0,1.0,0,0,1,1,1.0
T0387_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0388,0.5,0.0,1.0,0,0,1,1,1.0
T0380_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0381,0.5,0.0,1.0,0,0,1,1,1.0
T0381_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0382,0.5,0.0,1.0,0,0,1,1,1.0
T0382_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0383,0.5,0.0,1.0,0,0,1,1,1.0
T0383_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0384,0.5,0.0,1.0,0,0,1,1,1.0
T0376_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0377,0.5,0.0,1.0,0,0,1,1,1.0
T0377_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0378,0.5,0.0,1.0,0,0,1,1,1.0
T0378_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0379,0.5,0.0,1.0,0,0,1,1,1.0
T0379_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0380,0.5,0.0,1.0,0,0,1,1,1.0
T0372_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0373,0.5,0.0,1.0,0,0,1,1,1.0
T0373_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0374,0.5,0.0,1.0,0,0,1,1,1.0
T0374_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0375,0.5,0.0,1.0,0,0,1,1,1.0
T0375_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0376,0.5,0.0,1.0,0,0,1,1,1.0
T0032_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0033_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0034_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0035_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0028_hi,0.5,0.0,1.0,0,0,1,1,1.0
T0029_hi,0.5,0.0,1.0,0,0,1,1,1.0
