user_id,lifecycle_stage,segment_id,segment_name,activeness,gamification_propensity,social_propensity,ai_tutor_propensity,leaderboard_propensity,churn_risk,rfm_score,rfm_segment,engagement_intensity,streak_consistency,feature_diversity
U0000,trial,0,Needs Attention,0.23900237935258778,0.2822311289245157,0.0,0.0,0.4878491064526056,0.6608538915373836,2.9,Needs Attention,0.015971234707006628,0.02127659574468085,0.0
U0001,inactive,0,Needs Attention,0.3005448018479645,0.5564462257849031,0.0,1.0,0.3976447276575623,0.7600986508061149,3.6000000000000005,Potential Loyalist,0.09850183219322395,0.3333333333333333,0.5
U0002,paid,0,Needs Attention,0.28677396658860865,0.5744822979291917,0.0,1.0,0.6029467174048472,0.5555951945149199,1.9,Lost,0.007145097290948953,0.06451612903225806,0.5
U0003,paid,2,Social Engagers,0.19265360393083747,0.644622578490314,1.0,0.0,0.7071693949697148,0.5397269865776677,2.2,At Risk,0.00556923057889197,0.0375,0.5
U0004,trial,3,Segment 3,0.4359573654156297,0.2631930527722111,0.0,0.0,0.7890357494014246,0.34693621904849453,2.2,At Risk,0.019962832281108987,0.06818181818181818,0.0
U0005,trial,2,Social Engagers,0.20493703654645448,0.9094856379425518,1.0,1.0,0.649935076144799,0.5195909695614891,2.7,Needs Attention,0.004289401444187578,0.03614457831325301,1.0
U0006,trial,2,Social Engagers,0.39621736683945363,0.7391449565798264,1.0,1.0,0.13202885171091247,0.7324823458537746,3.7,Potential Loyalist,0.2507081417479891,0.125,1.0
U0007,churned,0,Needs Attention,0.3232185055561375,0.5818303273213092,0.0,1.0,0.3567366943625078,0.7209625136875941,2.9,Needs Attention,0.06346262219986475,0.047619047619047616,0.5
U0008,paid,3,Segment 3,0.42430936796503604,0.4585838343353374,0.0,1.0,0.5582093025001313,0.3922228898592762,2.0,At Risk,0.025079176529804174,0.04938271604938271,0.5
U0009,paid,0,Needs Attention,0.30183306741695287,0.0036740146960587846,0.0,0.0,0.4257713929732123,0.44443207444344524,1.8000000000000003,Lost,0.013714390055725051,0.034482758620689655,0.0
